species,NCBI_taxonomy_ID,percent present,mean reads,total reads
Acinetobacter_variabilis,70346,1.6334864726901488,1.4330854654034444,2807.4144267253478
Acinetobacter_venetianus,52133,2.5523226135783617,0.6641966990959948,1301.1613335290538
Acinetobacter_wanghuae,2662362,1.8887187340479783,0.18967732256194908,371.5778748988582
Acinetobacter_wuhouensis,1879050,3.3180193976518613,0.6848635445317409,1341.6476837376804
Actinobaculum_massiliense,202789,25.01276161306789,53.4040741470729,104618.58125411581
Actinobaculum_sp. 313,2495645,3.522205206738127,0.3639848161675083,713.0462548721487
Actinobaculum_sp. oral taxon 183,712888,2.6033690658499253,0.2739779498823002,536.7228038194261
Actinobaculum_suis,1657,4.3389484430832015,0.8242932936605865,1614.7905622810888
Actinomyces_bovis,1658,6.687085247575297,6.642177728221955,13012.02616958681
Actinomyces_faecalis,2722820,4.3389484430832015,0.8054653954591015,1577.9067097043796
Actinomyces_gaoshouyii,1960083,12.149055640632977,1.0031254178446303,1965.1226935576308
Actinomyces_glycerinitolerans,1892869,0.2552322613578406,0.02749690632360889,53.86643948794982
Actinomyces_graevenitzii,55565,4.543134252169478,0.6256587561720213,1225.6655033409897
Actinomyces_howellii,52771,2.0929045431342552,0.2768176771497264,542.2858295363139
Actinomyces_johnsonii,544581,2.0929045431342552,0.20801901133643388,407.509243208074
Actinomyces_lilanjuaniae,2321394,1.8887187340479783,0.1755150534701138,343.83398974795296
Actinomyces_marmotae,2737173,1.2761613067891808,0.13188176132733803,258.3563704402552
Actinomyces_massiliensis,461393,5.053598774885149,0.8753811887713275,1714.8717488030306
Actinomyces_naeslundii,1655,2.450229709035223,1.084337114617585,2124.216407535849
Actinomyces_oris,544580,4.0837161817253715,2.289535980405142,4485.200985613673
Actinomyces_pacaensis,1852377,3.2669729453802976,0.7496858041785281,1468.6344903857366
Actinomyces_procaprae,2560010,1.7355793772332873,0.2213583102390705,433.6409297583391
Actinomyces_qiguomingii,2057800,2.450229709035223,0.2020720540574884,395.8591538986198
Actinomyces_radicidentis,111015,2.2460438999489574,0.41542622529066403,813.8199753444109
